id_factura,fecha,anio,mes,tipo_servicio,proveedor,kwh_consumidos,kwh_generados,m3_gas,tarifa_unitaria,monto_ars,es_renovable,kwh_totales
FAC-E-202403,2024-03-01,2024,3,Electricidad Red,EDENOR,3416.0,0.0,0.0,223.3839,763083.46,False,3416.0
FAC-S-202403,2024-03-01,2024,3,Panel Solar,Autoconsumo,4175.1,4175.1,0.0,0.0,0.0,True,4175.1
FAC-E-202404,2024-04-01,2024,4,Electricidad Red,EDENOR,3262.1,0.0,0.0,222.8444,726942.98,False,3262.1
FAC-S-202404,2024-04-01,2024,4,Panel Solar,Autoconsumo,3987.0,3987.0,0.0,0.0,0.0,True,3987.0
FAC-E-202405,2024-05-01,2024,5,Electricidad Red,EDENOR,3338.9,0.0,0.0,225.5319,753038.76,False,3338.9
FAC-G-202405,2024-05-01,2024,5,Gas Natural,Metrogas,0.0,0.0,327.6,142.83,46789.61,False,3502.044
FAC-S-202405,2024-05-01,2024,5,Panel Solar,Autoconsumo,4080.9,4080.9,0.0,0.0,0.0,True,4080.9
FAC-E-202406,2024-06-01,2024,6,Electricidad Red,EDENOR,3413.5,0.0,0.0,213.071,727307.29,False,3413.5
FAC-G-202406,2024-06-01,2024,6,Gas Natural,Metrogas,0.0,0.0,321.7,153.0346,49231.22,False,3438.9729999999995
FAC-S-202406,2024-06-01,2024,6,Panel Solar,Autoconsumo,4172.0,4172.0,0.0,0.0,0.0,True,4172.0
FAC-E-202407,2024-07-01,2024,7,Electricidad Red,EDENOR,3590.1,0.0,0.0,230.9898,829267.31,False,3590.1
FAC-G-202407,2024-07-01,2024,7,Gas Natural,Metrogas,0.0,0.0,350.2,146.6698,51360.27,False,3743.638
FAC-S-202407,2024-07-01,2024,7,Panel Solar,Autoconsumo,4387.9,4387.9,0.0,0.0,0.0,True,4387.9
FAC-E-202408,2024-08-01,2024,8,Electricidad Red,EDENOR,3323.3,0.0,0.0,221.3423,735590.9,False,3323.3
FAC-G-202408,2024-08-01,2024,8,Gas Natural,Metrogas,0.0,0.0,352.8,140.8559,49689.5,False,3771.432
FAC-S-202408,2024-08-01,2024,8,Panel Solar,Autoconsumo,4061.8,4061.8,0.0,0.0,0.0,True,4061.8
FAC-E-202409,2024-09-01,2024,9,Electricidad Red,EDENOR,3334.3,0.0,0.0,233.0205,776955.45,False,3334.3
FAC-G-202409,2024-09-01,2024,9,Gas Natural,Metrogas,0.0,0.0,301.7,143.259,43214.25,False,3225.173
FAC-S-202409,2024-09-01,2024,9,Panel Solar,Autoconsumo,4075.2,4075.2,0.0,0.0,0.0,True,4075.2
FAC-E-202410,2024-10-01,2024,10,Electricidad Red,EDENOR,3304.2,0.0,0.0,225.9755,746664.08,False,3304.2
FAC-S-202410,2024-10-01,2024,10,Panel Solar,Autoconsumo,4038.4,4038.4,0.0,0.0,0.0,True,4038.4
FAC-E-202411,2024-11-01,2024,11,Electricidad Red,EDENOR,2982.0,0.0,0.0,228.3328,680879.5,False,2982.0
FAC-S-202411,2024-11-01,2024,11,Panel Solar,Autoconsumo,3644.6,3644.6,0.0,0.0,0.0,True,3644.6
FAC-E-202412,2024-12-01,2024,12,Electricidad Red,EDENOR,2743.1,0.0,0.0,218.5205,599415.21,False,2743.1
FAC-S-202412,2024-12-01,2024,12,Panel Solar,Autoconsumo,3352.6,3352.6,0.0,0.0,0.0,True,3352.6
FAC-E-202501,2025-01-01,2025,1,Electricidad Red,EDENOR,2954.9,0.0,0.0,345.4264,1020690.88,False,2954.9
FAC-S-202501,2025-01-01,2025,1,Panel Solar,Autoconsumo,3611.5,3611.5,0.0,0.0,0.0,True,3611.5
FAC-E-202502,2025-02-01,2025,2,Electricidad Red,EDENOR,2930.5,0.0,0.0,350.2202,1026308.1,False,2930.5
FAC-S-202502,2025-02-01,2025,2,Panel Solar,Autoconsumo,3581.7,3581.7,0.0,0.0,0.0,True,3581.7
FAC-E-202503,2025-03-01,2025,3,Electricidad Red,EDENOR,3150.9,0.0,0.0,343.3315,1081818.41,False,3150.9
FAC-S-202503,2025-03-01,2025,3,Panel Solar,Autoconsumo,3851.2,3851.2,0.0,0.0,0.0,True,3851.2
FAC-E-202504,2025-04-01,2025,4,Electricidad Red,EDENOR,3299.8,0.0,0.0,343.3647,1133046.82,False,3299.8
FAC-S-202504,2025-04-01,2025,4,Panel Solar,Autoconsumo,4033.1,4033.1,0.0,0.0,0.0,True,4033.1
FAC-E-202505,2025-05-01,2025,5,Electricidad Red,EDENOR,3505.2,0.0,0.0,362.4572,1270499.03,False,3505.2
FAC-G-202505,2025-05-01,2025,5,Gas Natural,Metrogas,0.0,0.0,333.0,222.0847,73945.86,False,3559.77
FAC-S-202505,2025-05-01,2025,5,Panel Solar,Autoconsumo,4284.2,4284.2,0.0,0.0,0.0,True,4284.2
FAC-E-202506,2025-06-01,2025,6,Electricidad Red,EDENOR,3415.4,0.0,0.0,345.3166,1179394.74,False,3415.4
FAC-G-202506,2025-06-01,2025,6,Gas Natural,Metrogas,0.0,0.0,355.0,227.2345,80675.51,False,3794.95
FAC-S-202506,2025-06-01,2025,6,Panel Solar,Autoconsumo,4174.4,4174.4,0.0,0.0,0.0,True,4174.4
FAC-E-202507,2025-07-01,2025,7,Electricidad Red,EDENOR,3437.6,0.0,0.0,347.4189,1194303.95,False,3437.6
FAC-G-202507,2025-07-01,2025,7,Gas Natural,Metrogas,0.0,0.0,356.1,226.2022,80558.86,False,3806.7090000000003
FAC-S-202507,2025-07-01,2025,7,Panel Solar,Autoconsumo,4201.6,4201.6,0.0,0.0,0.0,True,4201.6
FAC-E-202508,2025-08-01,2025,8,Electricidad Red,EDENOR,3303.1,0.0,0.0,350.6295,1158166.16,False,3303.1
FAC-G-202508,2025-08-01,2025,8,Gas Natural,Metrogas,0.0,0.0,288.2,225.8653,65100.99,False,3080.8579999999997
FAC-S-202508,2025-08-01,2025,8,Panel Solar,Autoconsumo,4037.1,4037.1,0.0,0.0,0.0,True,4037.1
FAC-E-202509,2025-09-01,2025,9,Electricidad Red,EDENOR,3136.4,0.0,0.0,341.019,1069587.95,False,3136.4
FAC-G-202509,2025-09-01,2025,9,Gas Natural,Metrogas,0.0,0.0,264.2,225.9318,59685.02,False,2824.298
FAC-S-202509,2025-09-01,2025,9,Panel Solar,Autoconsumo,3833.4,3833.4,0.0,0.0,0.0,True,3833.4
FAC-E-202510,2025-10-01,2025,10,Electricidad Red,EDENOR,2990.4,0.0,0.0,345.99,1034631.3,False,2990.4
FAC-S-202510,2025-10-01,2025,10,Panel Solar,Autoconsumo,3654.9,3654.9,0.0,0.0,0.0,True,3654.9
FAC-E-202511,2025-11-01,2025,11,Electricidad Red,EDENOR,2666.2,0.0,0.0,357.6377,953534.89,False,2666.2
FAC-S-202511,2025-11-01,2025,11,Panel Solar,Autoconsumo,3258.7,3258.7,0.0,0.0,0.0,True,3258.7
FAC-E-202512,2025-12-01,2025,12,Electricidad Red,EDENOR,2636.3,0.0,0.0,350.4173,923806.61,False,2636.3
FAC-S-202512,2025-12-01,2025,12,Panel Solar,Autoconsumo,3222.1,3222.1,0.0,0.0,0.0,True,3222.1
=======,,,,,,,,,,,,0.0
id_factura,,anio,mes,tipo_servicio,proveedor,,kwh_generados,,tarifa_unitaria,monto_ars,es_renovable,0.0
FAC-E-201801,2018-01-01,2018,1,Electricidad Red,EDENOR,8689.9,0.0,0.0,12.8272,111467.55,False,8689.9
FAC-E-201802,2018-02-01,2018,2,Electricidad Red,EDENOR,8092.1,0.0,0.0,12.4905,101073.7,False,8092.1
FAC-E-201803,2018-03-01,2018,3,Electricidad Red,EDENOR,9039.8,0.0,0.0,12.6802,114626.53,False,9039.8
FAC-E-201804,2018-04-01,2018,4,Electricidad Red,EDENOR,9302.8,0.0,0.0,12.4588,115901.61,False,9302.8
FAC-E-201805,2018-05-01,2018,5,Electricidad Red,EDENOR,9098.4,0.0,0.0,12.4737,113490.76,False,9098.4
FAC-G-201805,2018-05-01,2018,5,Gas Natural,Metrogas,0.0,0.0,296.4,7.7817,2306.19,False,3168.5159999999996
FAC-E-201806,2018-06-01,2018,6,Electricidad Red,EDENOR,9433.2,0.0,0.0,12.644,119273.87,False,9433.2
FAC-G-201806,2018-06-01,2018,6,Gas Natural,Metrogas,0.0,0.0,384.4,7.9055,3039.04,False,4109.236
FAC-E-201807,2018-07-01,2018,7,Electricidad Red,EDENOR,9300.3,0.0,0.0,12.4364,115662.08,False,9300.3
FAC-G-201807,2018-07-01,2018,7,Gas Natural,Metrogas,0.0,0.0,333.1,7.899,2631.4,False,3560.839
FAC-E-201808,2018-08-01,2018,8,Electricidad Red,EDENOR,9007.1,0.0,0.0,12.8461,115706.29,False,9007.1
FAC-G-201808,2018-08-01,2018,8,Gas Natural,Metrogas,0.0,0.0,304.4,8.0648,2454.88,False,3254.0359999999996
FAC-E-201809,2018-09-01,2018,9,Electricidad Red,EDENOR,8516.1,0.0,0.0,12.1342,103336.28,False,8516.1
FAC-G-201809,2018-09-01,2018,9,Gas Natural,Metrogas,0.0,0.0,276.5,8.3062,2296.74,False,2955.785
FAC-E-201810,2018-10-01,2018,10,Electricidad Red,EDENOR,8112.6,0.0,0.0,12.2584,99447.82,False,8112.6
FAC-E-201811,2018-11-01,2018,11,Electricidad Red,EDENOR,7718.0,0.0,0.0,12.9518,99962.24,False,7718.0
FAC-E-201812,2018-12-01,2018,12,Electricidad Red,EDENOR,7920.6,0.0,0.0,12.6584,100262.42,False,7920.6
FAC-E-201901,2019-01-01,2019,1,Electricidad Red,EDENOR,8388.7,0.0,0.0,20.3627,170816.73,False,8388.7
FAC-E-201902,2019-02-01,2019,2,Electricidad Red,EDENOR,8265.6,0.0,0.0,19.82,163823.04,False,8265.6
FAC-E-201903,2019-03-01,2019,3,Electricidad Red,EDENOR,8945.8,0.0,0.0,20.0446,179315.05,False,8945.8
FAC-E-201904,2019-04-01,2019,4,Electricidad Red,EDENOR,8486.1,0.0,0.0,20.2096,171501.19,False,8486.1
FAC-E-201905,2019-05-01,2019,5,Electricidad Red,EDENOR,8822.3,0.0,0.0,20.4443,180364.57,False,8822.3
FAC-G-201905,2019-05-01,2019,5,Gas Natural,Metrogas,0.0,0.0,290.9,12.9454,3765.31,False,3109.7209999999995
FAC-E-201906,2019-06-01,2019,6,Electricidad Red,EDENOR,9022.1,0.0,0.0,20.0731,181102.27,False,9022.1
FAC-G-201906,2019-06-01,2019,6,Gas Natural,Metrogas,0.0,0.0,344.6,12.7508,4393.43,False,3683.774
FAC-E-201907,2019-07-01,2019,7,Electricidad Red,EDENOR,9069.5,0.0,0.0,20.1125,182409.95,False,9069.5
FAC-G-201907,2019-07-01,2019,7,Gas Natural,Metrogas,0.0,0.0,340.2,13.1088,4459.24,False,3636.738
FAC-E-201908,2019-08-01,2019,8,Electricidad Red,EDENOR,8251.6,0.0,0.0,20.2347,166969.08,False,8251.6
FAC-G-201908,2019-08-01,2019,8,Gas Natural,Metrogas,0.0,0.0,320.8,12.9285,4148.01,False,3429.352
FAC-E-201909,2019-09-01,2019,9,Electricidad Red,EDENOR,8666.3,0.0,0.0,20.264,175613.94,False,8666.3
FAC-G-201909,2019-09-01,2019,9,Gas Natural,Metrogas,0.0,0.0,271.4,12.6332,3428.32,False,2901.2659999999996
FAC-E-201910,2019-10-01,2019,10,Electricidad Red,EDENOR,8288.1,0.0,0.0,20.5902,170654.3,False,8288.1
FAC-E-201911,2019-11-01,2019,11,Electricidad Red,EDENOR,7694.0,0.0,0.0,19.595,150763.94,False,7694.0
FAC-E-201912,2019-12-01,2019,12,Electricidad Red,EDENOR,7590.3,0.0,0.0,19.6665,149275.42,False,7590.3
