id_orden_compra,fecha_emision,fecha_pago,proveedor,categoria,monto_ars,condicion_pago,estado
OC-5139,2019-01-04,2019-08-04,ElectroImport SA,TV/Audio,490168722.0,Contado,Pagado
OC-5140,2019-01-04,,AccesoriosTotal SRL,Accesorios,218569732.0,Contado,Pagado
OC-5141,2019-01-04,2019-08-04,MegaComputo SRL,Periféricos,27146331.0,60 días,Pagado
OC-5142,2019-01-04,2019-09-04,MegaComputo SRL,Almacenamiento,135147883.0,60 días,Pagado
OC-5143,2019-01-04,2019-10-04,NetSupply SA,Redes,144826416.0,60 días,Pagado
OC-5144,2019-01-04,2019-07-04,NetSupply SA,Seguridad,108863678.0,Contado,Pagado
OC-5145,2019-01-05,,DistribuidoraTech SA,Smartphones,738564625.0,Contado,Pagado
OC-5146,2019-01-05,,MegaComputo SRL,Computación,812177681.0,60 días,Pagado
OC-5147,2019-01-05,,DistribuidoraTech SA,Tablets,354323051.0,60 días,Pagado
OC-5148,2019-01-05,,ElectroImport SA,TV/Audio,481210267.0,30 días,Pagado
OC-5149,2019-01-05,2019-05-05,AccesoriosTotal SRL,Accesorios,264886368.0,Contado,Pagado
OC-5150,2019-01-05,,MegaComputo SRL,Periféricos,423532672.0,60 días,Pagado
OC-5151,2019-01-05,,MegaComputo SRL,Almacenamiento,198135204.0,60 días,Pagado
OC-5152,2019-01-05,,NetSupply SA,Redes,171901368.0,Contado,Pagado
OC-5153,2019-01-05,2019-05-05,NetSupply SA,Seguridad,161118858.0,Contado,Pagado
OC-5154,2019-01-06,2019-05-06,DistribuidoraTech SA,Smartphones,521035429.0,Contado,Pagado
OC-5155,2019-01-06,2019-07-06,MegaComputo SRL,Computación,573557499.0,60 días,Pagado
OC-5156,2019-01-06,,DistribuidoraTech SA,Tablets,263242735.0,Contado,Pagado
OC-5157,2019-01-06,2019-05-06,ElectroImport SA,TV/Audio,396069091.0,Contado,Pagado
OC-5158,2019-01-06,2019-09-06,AccesoriosTotal SRL,Accesorios,198671251.0,Contado,Pagado
OC-5159,2019-01-06,,MegaComputo SRL,Periféricos,275262114.0,60 días,Pagado
OC-5160,2019-01-06,2019-09-06,MegaComputo SRL,Almacenamiento,157674135.0,60 días,Pagado
OC-5161,2019-01-06,2019-09-06,NetSupply SA,Redes,140409961.0,60 días,Pagado
OC-5162,2019-01-06,2019-08-06,NetSupply SA,Seguridad,98437766.0,Contado,Pagado
OC-5163,2019-01-07,2019-11-07,DistribuidoraTech SA,Smartphones,694593115.0,30 días,Pagado
OC-5164,2019-01-07,,MegaComputo SRL,Computación,747673764.0,Contado,Pagado
OC-5165,2019-01-07,,DistribuidoraTech SA,Tablets,298035438.0,Contado,Pagado
OC-5166,2019-01-07,2019-12-07,ElectroImport SA,TV/Audio,490855323.0,60 días,Pagado
OC-5167,2019-01-07,,AccesoriosTotal SRL,Accesorios,264274945.0,30 días,Pagado
OC-5168,2019-01-07,,MegaComputo SRL,Periféricos,327113357.0,Contado,Pagado
OC-5169,2019-01-07,2019-11-07,MegaComputo SRL,Almacenamiento,225670028.0,Contado,Pagado
OC-5170,2019-01-07,,NetSupply SA,Redes,178680937.0,60 días,Pagado
OC-5171,2019-01-07,,NetSupply SA,Seguridad,141600877.0,Contado,Pagado
OC-5172,2019-01-08,,DistribuidoraTech SA,Smartphones,484163318.0,60 días,Pagado
OC-5173,2019-01-08,,MegaComputo SRL,Computación,501887808.0,30 días,Pagado
OC-5174,2019-01-08,,DistribuidoraTech SA,Tablets,22503125.0,60 días,Pagado
OC-5175,2019-01-08,,ElectroImport SA,TV/Audio,437647198.0,Contado,Pagado
OC-5176,2019-01-08,,AccesoriosTotal SRL,Accesorios,183030203.0,30 días,Pagado
OC-5177,2019-01-08,2019-09-08,MegaComputo SRL,Periféricos,254576858.0,30 días,Pagado
OC-5178,2019-01-08,2019-08-08,MegaComputo SRL,Almacenamiento,142050747.0,30 días,Pagado
OC-5179,2019-01-08,,NetSupply SA,Redes,12277523.0,60 días,Pagado
OC-5180,2019-01-08,,NetSupply SA,Seguridad,9703996.0,60 días,Pagado
OC-5181,2019-01-09,2019-06-09,DistribuidoraTech SA,Smartphones,571302566.0,Contado,Pagado
OC-5182,2019-01-09,2019-09-09,MegaComputo SRL,Computación,599027844.0,30 días,Pagado
OC-5183,2019-01-09,,DistribuidoraTech SA,Tablets,238168193.0,Contado,Pagado
OC-5184,2019-01-09,,ElectroImport SA,TV/Audio,385513605.0,60 días,Pagado
OC-5185,2019-01-09,,AccesoriosTotal SRL,Accesorios,224468134.0,60 días,Pagado
OC-5186,2019-01-09,,MegaComputo SRL,Periféricos,289198421.0,Contado,Pagado
OC-5187,2019-01-09,,MegaComputo SRL,Almacenamiento,166265361.0,Contado,Pagado
OC-5188,2019-01-09,,NetSupply SA,Redes,137060963.0,60 días,Pagado
OC-5189,2019-01-09,2019-11-09,NetSupply SA,Seguridad,12340932.0,60 días,Pagado
OC-5190,2019-01-10,2019-12-10,DistribuidoraTech SA,Smartphones,756851715.0,30 días,Pagado
OC-5191,2019-01-10,2019-05-10,MegaComputo SRL,Computación,800144973.0,60 días,Pagado
OC-5192,2019-01-10,2019-09-10,DistribuidoraTech SA,Tablets,309561162.0,30 días,Pagado
OC-5193,2019-01-10,,ElectroImport SA,TV/Audio,540139675.0,60 días,Pagado
OC-5194,2019-01-10,,AccesoriosTotal SRL,Accesorios,245402312.0,30 días,Pagado
OC-5195,2019-01-10,2019-10-10,MegaComputo SRL,Periféricos,283910743.0,30 días,Pagado
OC-5196,2019-01-10,2019-08-10,MegaComputo SRL,Almacenamiento,223034093.0,30 días,Pagado
OC-5197,2019-01-10,,NetSupply SA,Redes,169021451.0,30 días,Pagado
OC-5198,2019-01-10,2019-06-10,NetSupply SA,Seguridad,170352532.0,30 días,Pagado
OC-5199,2019-01-11,2019-11-11,DistribuidoraTech SA,Smartphones,710275679.0,60 días,Pagado
OC-5200,2019-01-11,2019-08-11,MegaComputo SRL,Computación,847575873.0,60 días,Pagado
OC-5201,2019-01-11,2019-09-11,DistribuidoraTech SA,Tablets,362695959.0,Contado,Pagado
OC-5202,2019-01-11,,ElectroImport SA,TV/Audio,564928816.0,Contado,Pagado
OC-5203,2019-01-11,,AccesoriosTotal SRL,Accesorios,291600884.0,30 días,Pagado
OC-5204,2019-01-11,2019-06-11,MegaComputo SRL,Periféricos,366744548.0,60 días,Pagado
OC-5205,2019-01-11,,MegaComputo SRL,Almacenamiento,216246428.0,Contado,Pagado
OC-5206,2019-01-11,,NetSupply SA,Redes,192212462.0,60 días,Pagado
OC-5207,2019-01-11,2019-10-11,NetSupply SA,Seguridad,149668527.0,60 días,Pagado
OC-5208,2019-01-12,2019-11-12,DistribuidoraTech SA,Smartphones,821977947.0,60 días,Pagado
OC-5209,2019-01-12,2019-08-12,MegaComputo SRL,Computación,1089686703.0,60 días,Pagado
OC-5210,2019-01-12,,DistribuidoraTech SA,Tablets,455099724.0,30 días,Pagado
OC-5211,2019-01-12,2019-05-12,ElectroImport SA,TV/Audio,783016511.0,Contado,Pagado
OC-5212,2019-01-12,2019-09-12,AccesoriosTotal SRL,Accesorios,44453522.0,Contado,Pagado
OC-5213,2019-01-12,,MegaComputo SRL,Periféricos,504649199.0,30 días,Pagado
OC-5214,2019-01-12,2019-08-12,MegaComputo SRL,Almacenamiento,295144098.0,Contado,Pagado
OC-5215,2019-01-12,,NetSupply SA,Redes,263352015.0,Contado,Pagado
OC-5216,2019-01-12,2019-08-12,NetSupply SA,Seguridad,232002448.0,Contado,Pagado
OC-5217,2020-01-01,,DistribuidoraTech SA,Smartphones,780548666.0,30 días,Pagado
OC-5218,2020-01-01,2020-08-01,MegaComputo SRL,Computación,94177924.0,60 días,Pagado
OC-5219,2020-01-01,,DistribuidoraTech SA,Tablets,407593345.0,30 días,Pagado
OC-5220,2020-01-01,2020-06-01,ElectroImport SA,TV/Audio,620021058.0,Contado,Pagado
OC-5221,2020-01-01,2020-05-01,AccesoriosTotal SRL,Accesorios,286214691.0,Contado,Pagado
OC-5222,2020-01-01,2020-07-01,MegaComputo SRL,Periféricos,408645112.0,60 días,Pagado
OC-5223,2020-01-01,2020-12-01,MegaComputo SRL,Almacenamiento,262413174.0,30 días,Pagado
OC-5224,2020-01-01,2020-09-01,NetSupply SA,Redes,192894762.0,Contado,Pagado
OC-5225,2020-01-01,2020-09-01,NetSupply SA,Seguridad,171762299.0,Contado,Pagado
OC-5226,2020-01-02,,DistribuidoraTech SA,Smartphones,857078546.0,60 días,Pagado
OC-5227,2020-01-02,2020-06-02,MegaComputo SRL,Computación,992382252.0,30 días,Pagado
OC-5228,2020-01-02,,DistribuidoraTech SA,Tablets,411097476.0,60 días,Pagado
OC-5229,2020-01-02,,ElectroImport SA,TV/Audio,728083217.0,Contado,Pagado
OC-5230,2020-01-02,,AccesoriosTotal SRL,Accesorios,342827329.0,30 días,Pagado
OC-5231,2020-01-02,,MegaComputo SRL,Periféricos,447829201.0,Contado,Pagado
OC-5232,2020-01-02,,MegaComputo SRL,Almacenamiento,232651943.0,Contado,Pagado
OC-5233,2020-01-02,,NetSupply SA,Redes,242843727.0,30 días,Pagado
OC-5234,2020-01-02,2020-12-02,NetSupply SA,Seguridad,184602607.0,30 días,Pagado
OC-5235,2020-01-03,,DistribuidoraTech SA,Smartphones,33299425.0,Contado,Pagado
OC-5236,2020-01-03,2020-10-03,MegaComputo SRL,Computación,33303575.0,Contado,Pagado
OC-5237,2020-01-03,,DistribuidoraTech SA,Tablets,11748262.0,60 días,Pagado
OC-5238,2020-01-03,,ElectroImport SA,TV/Audio,25018113.0,60 días,Pagado
OC-5239,2020-01-03,,AccesoriosTotal SRL,Accesorios,11551556.0,60 días,Pagado
OC-5240,2020-01-03,,MegaComputo SRL,Periféricos,16551203.0,60 días,Pagado
OC-5241,2020-01-03,,MegaComputo SRL,Almacenamiento,8993373.0,Contado,Pagado
OC-5242,2020-01-03,2020-11-03,NetSupply SA,Redes,885265.0,30 días,Pagado
OC-5243,2020-01-03,2020-07-03,NetSupply SA,Seguridad,5662606.0,60 días,Pagado
OC-5244,2020-01-04,2020-07-04,DistribuidoraTech SA,Smartphones,21437864.0,30 días,Pagado
OC-5245,2020-01-04,,MegaComputo SRL,Computación,24233511.0,Contado,Pagado
OC-5246,2020-01-04,2020-08-04,DistribuidoraTech SA,Tablets,9210647.0,60 días,Pagado
OC-5247,2020-01-04,,ElectroImport SA,TV/Audio,15025357.0,Contado,Pagado
OC-5248,2020-01-04,2020-09-04,AccesoriosTotal SRL,Accesorios,8274759.0,Contado,Pagado
OC-5249,2020-01-04,2020-07-04,MegaComputo SRL,Periféricos,8982191.0,30 días,Pagado
OC-5250,2020-01-04,,MegaComputo SRL,Almacenamiento,5954678.0,Contado,Pagado
OC-5251,2020-01-04,,NetSupply SA,Redes,518102.0,60 días,Pagado
OC-5252,2020-01-04,2020-06-04,NetSupply SA,Seguridad,4541392.0,30 días,Pagado
OC-5253,2020-01-05,,DistribuidoraTech SA,Smartphones,66759402.0,60 días,Pagado
OC-5254,2020-01-05,,MegaComputo SRL,Computación,69506841.0,60 días,Pagado
OC-5255,2020-01-05,2020-05-05,DistribuidoraTech SA,Tablets,28289851.0,60 días,Pagado
OC-5256,2020-01-05,,ElectroImport SA,TV/Audio,49936656.0,30 días,Pagado
OC-5257,2020-01-05,2020-10-05,AccesoriosTotal SRL,Accesorios,28041017.0,Contado,Pagado
OC-5258,2020-01-05,,MegaComputo SRL,Periféricos,28771692.0,Contado,Pagado
OC-5259,2020-01-05,,MegaComputo SRL,Almacenamiento,18262425.0,60 días,Pagado
OC-5260,2020-01-05,2020-11-05,NetSupply SA,Redes,14379513.0,60 días,Pagado
OC-5261,2020-01-05,,NetSupply SA,Seguridad,13671604.0,Contado,Pagado
OC-5262,2020-01-06,,DistribuidoraTech SA,Smartphones,360005657.0,Contado,Pagado
OC-5263,2020-01-06,,MegaComputo SRL,Computación,369436312.0,Contado,Pagado
OC-5264,2020-01-06,,DistribuidoraTech SA,Tablets,151967889.0,Contado,Pagado
OC-5265,2020-01-06,,ElectroImport SA,TV/Audio,246092249.0,60 días,Pagado
OC-5266,2020-01-06,,AccesoriosTotal SRL,Accesorios,133455555.0,30 días,Pagado
OC-5267,2020-01-06,2020-08-06,MegaComputo SRL,Periféricos,15090747.0,Contado,Pagado
OC-5268,2020-01-06,2020-12-06,MegaComputo SRL,Almacenamiento,91900558.0,Contado,Pagado
OC-5269,2020-01-06,,NetSupply SA,Redes,80034956.0,30 días,Pagado
OC-5270,2020-01-06,,NetSupply SA,Seguridad,64438183.0,Contado,Pagado
OC-5271,2020-01-07,,DistribuidoraTech SA,Smartphones,614850638.0,60 días,Pagado
OC-5272,2020-01-07,,MegaComputo SRL,Computación,632525047.0,30 días,Pagado
OC-5273,2020-01-07,,DistribuidoraTech SA,Tablets,244226906.0,60 días,Pagado
OC-5274,2020-01-07,2020-11-07,ElectroImport SA,TV/Audio,489028344.0,60 días,Pagado
OC-5275,2020-01-07,2020-07-07,AccesoriosTotal SRL,Accesorios,256454136.0,30 días,Pagado
OC-5276,2020-01-07,2020-07-07,MegaComputo SRL,Periféricos,269302046.0,60 días,Pagado
OC-5277,2020-01-07,2020-05-07,MegaComputo SRL,Almacenamiento,16626577.0,60 días,Pagado
OC-5278,2020-01-07,,NetSupply SA,Redes,121115462.0,60 días,Pagado
OC-5279,2020-01-07,2020-10-07,NetSupply SA,Seguridad,10897085.0,Contado,Pagado
OC-5280,2020-01-08,,DistribuidoraTech SA,Smartphones,494416554.0,60 días,Pagado
OC-5281,2020-01-08,,MegaComputo SRL,Computación,488281969.0,30 días,Pagado
OC-5282,2020-01-08,,DistribuidoraTech SA,Tablets,253874797.0,Contado,Pagado
OC-5283,2020-01-08,2020-06-08,ElectroImport SA,TV/Audio,421780534.0,Contado,Pagado
OC-5284,2020-01-08,,AccesoriosTotal SRL,Accesorios,194571662.0,60 días,Pagado
OC-5285,2020-01-08,2020-12-08,MegaComputo SRL,Periféricos,223174391.0,Contado,Pagado
OC-5286,2020-01-08,2020-06-08,MegaComputo SRL,Almacenamiento,149194472.0,60 días,Pagado
OC-5287,2020-01-08,,NetSupply SA,Redes,123645872.0,30 días,Pagado
OC-5288,2020-01-08,,NetSupply SA,Seguridad,103630998.0,30 días,Pagado
OC-5289,2020-01-09,2020-07-09,DistribuidoraTech SA,Smartphones,488396924.0,Contado,Pagado
OC-5290,2020-01-09,,MegaComputo SRL,Computación,645745589.0,30 días,Pagado
